"";"Ag";"Al";"Bi";"Cd";"Co";"Cr";"Cu";"Fe";"Mg";"Mn";"Mo";"Nb";"Ni";"P";"Pb";"Pd";"Ru";"S";"Sb";"Se";"Sn";"Ti";"V";"W";"Zn";"Zr"
"TIE_g_1";16,18826635729;0;0,690096613525894;0;0;0,0880123217250415;0,698097733682716;0,472066089252495;0;0;0;0,00200028003920549;0;5,91482807593063;0;0;0,00400056007841098;0;0;3,16344288200348;0;0,146020442862001;0;72,6331686436101;0;0
"TIE_cuo3_1";0;4,11816110608283;0,0156050060859524;0;0;0;91,5077556880247;0,535251708748167;0;0;0,00780250304297619;0,00312100121719048;0,0234075091289286;0,362036141194095;0,845791329858619;0;0;0;0;0;0,148247557816548;0,168534065728286;0,0749040292125714;0;2,11603882525514;0,0733435286039762
"TIE_cuo1_1";65,0047657452892;3,12095217146907;0,860278124007136;0;0;0,169856050052545;28,8388689297847;0,773517120023462;0;0;0;0;0,123420583131706;0,0403255370628345;0,576777378595694;0,0391035510912335;0;0;0;0;0;0,270058899723831;0,113644695358897;0;0;0,0684312144096586
"TIE_cuo1_2";74,2456857675425;3,98532860321087;0,91996873308881;0;0;0,173170585052011;18,5160242919848;0,746798148036799;0;0;0;0;0,111839336179424;0,0757621309602549;0,565209548433648;0;0;0;0;0;0;0,305453670855631;0,117852203715952;0,215260657807708;0;0,0216463231315014
"TIE_cuo1_3";67,1286753082517;3,23996206133418;0,662662029718622;0;0;0,201074928865002;27,5143850774581;0,466645589630098;0;0;0;0;0;0;0,459057856465381;0;0;0;0;0;0;0,185899462535567;0,115080619664875;0;0;0,0265570660765096
"TIE_cuo2_1";0;3,94173966184559;0,0378313884119547;0;0;0;74,7810144632308;0,884672467479557;0;0;0;0;0;0,21389284986759;3,01050548555132;0;0;0;0,266274772284143;0;3,74385239938306;0,202252422663912;0,021825801006897;1,78826062916509;10,9871082268719;0,120769432238163
"TIE_cuo4_1";0;3,10056286719895;0;0;0,141059176378751;0,0849094071406072;9,48383297497911;81,163806680453;0;0;0,00684753283391994;0,00273901313356798;0;0,130103123844479;0,0424547035703036;0;0;3,84968295922979;0;0;0;0,217751544118654;0,0835399005738232;0;1,63656034730687;0,0561497692381435
"TIE_cuo4_2";0;3,21560960747474;0;0;0;0,0253897323922206;35,2879195653278;42,4681358858478;0;0;0;0;0;0,100289442949271;0,450667749961915;0;0;0,571268978824963;0,0177728126745544;0;0,0901335499923831;0,13583506829838;0,0482404915452191;0;17,5557304626009;0,0330066521098868
"TIE_cuo4_3";0;3,97508534902303;0;0;0;0,197937095954093;0;83,56758916249;0;0,156170552771119;0,00907968330064647;0,0127115566209051;0;0,715479044090942;0;0;0;10,2200915232077;0;0;0;0,590179414542021;0,20520084259461;0;0;0,350475775404954
"TIE_unb_1";0;1,75365719482211;0,0898159894915292;0;0;0;53,7481335114684;0,395190353762729;0;0;0;0,00336809960593235;0,0460306946144087;0;36,0802056786159;0;0;0;0,601767129593246;0;6,47124204286468;0,0797116906737322;0,0460306946144087;0;0,588294731169517;0,0965521887033939
"TIE_unb_2";0;2,81214989740814;0,050351833436135;0;0;0;62,2210193728679;0,670938180536499;0;0;0;0;0,0641985876310721;0;29,4998804143956;0;0;0;0,289523042257776;0;3,24895205246661;0,19763094623683;0,0654573834669755;0;0,777935826588286;0,101962462708173
"TIE_pb_1";0;0;0,174241629054267;0;0;0;0;0;0;0;0;0;0;1,11682586333578;98,5000524824184;0;0;0;0,0944683531017109;0;0;0;0,11441167208985;0;0;0
